Running Block:  244


trying total_time: 30.0 for unitary of size (4, 4)
data saved at: /project/ftchong/qoc/pranav/00016_27_block244.h5
Using 4 Taylor terms and 3 Scaling & Squaring terms
Building graph:
Propagators initialized.
Operators weight initialized.
Intermediate propagation variables initialized.
Intermediate propagators initialized.
Vectors initialized.
Training loss initialized.
Optimizer initialized.
Utilities initialized.
Graph built!
Initialized
Error = :1.24e-01; Runtime: 706.3s; Iterations = 4020, grads =   8.478e-07, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 709.5s; Iterations = 4040, grads =   2.381e-06, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 712.7s; Iterations = 4060, grads =   4.655e-04, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 715.9s; Iterations = 4080, grads =   2.658e-02, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 719.1s; Iterations = 4100, grads =   2.336e-03, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 722.8s; Iterations = 4120, grads =   8.077e-04, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 726.0s; Iterations = 4140, grads =   1.336e-02, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 729.3s; Iterations = 4160, grads =   1.455e-03, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 732.5s; Iterations = 4180, grads =   1.278e-04, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 735.7s; Iterations = 4200, grads =   2.397e-05, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 739.4s; Iterations = 4220, grads =   6.659e-06, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 742.7s; Iterations = 4240, grads =   1.081e-06, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 745.9s; Iterations = 4260, grads =   1.674e-07, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 749.1s; Iterations = 4280, grads =   1.012e-08, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 752.3s; Iterations = 4300, grads =   6.795e-08, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 756.0s; Iterations = 4320, grads =   2.296e-06, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 759.3s; Iterations = 4340, grads =   3.872e-04, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 762.5s; Iterations = 4360, grads =   2.207e-02, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 765.7s; Iterations = 4380, grads =   2.373e-03, unitary_metric = 1.00003
Error = :1.24e-01; Runtime: 768.9s; Iterations = 4400, grads =   1.351e-02, unitary_metric = 1.00004
Error = :1.24e-01; Runtime: 772.7s; Iterations = 4420, grads =   1.906e-03, unitary_metric = 1.00003
